epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5445,1.87139,1.97873,1.64893,0.0672,0.20741,0.082,0.03024,1.90883,16.9295,1.69186,0.06722,0.000331111,0.000331111
2,186.745,1.7877,1.5133,1.53496,0.55605,0.67484,0.54879,0.19331,1.96496,1.84122,1.70769,0.0342149,0.000659305,0.000659305
3,279.419,1.78202,1.45276,1.53924,0.56637,0.62177,0.54823,0.20336,2.00591,1.72687,1.71337,0.00120457,0.000982343,0.000982343
4,371.969,1.72205,1.387,1.53593,0.61562,0.66,0.62551,0.20107,1.94466,1.63878,1.64027,0.000976797,0.000976797,0.000976797
5,464.616,1.68844,1.28392,1.48731,0.62252,0.66142,0.59062,0.22199,2.01529,1.52677,1.63759,0.000969063,0.000969063,0.000969063
6,557.21,1.69005,1.24568,1.49132,0.68937,0.77058,0.70319,0.27627,1.85293,1.23156,1.57448,0.000961328,0.000961328,0.000961328
7,649.86,1.67281,1.25233,1.46957,0.62951,0.65416,0.62758,0.21647,2.11532,1.38895,1.79071,0.000953594,0.000953594,0.000953594
8,742.842,1.62986,1.18501,1.44146,0.63317,0.74222,0.63586,0.25425,1.83487,1.28057,1.57951,0.000945859,0.000945859,0.000945859
9,835.027,1.65928,1.19873,1.45101,0.70989,0.71766,0.72581,0.28011,1.90743,1.17676,1.62478,0.000938125,0.000938125,0.000938125
10,927.651,1.59783,1.17907,1.44622,0.73338,0.77148,0.75719,0.33039,1.77873,1.10217,1.56469,0.000930391,0.000930391,0.000930391
11,1020.15,1.58643,1.10894,1.43849,0.64389,0.72664,0.6676,0.27268,1.85198,1.20949,1.60131,0.000922656,0.000922656,0.000922656
12,1112.72,1.58399,1.11434,1.42991,0.60405,0.75508,0.61893,0.24869,1.88963,1.36481,1.63162,0.000914922,0.000914922,0.000914922
13,1205.08,1.58619,1.0838,1.4133,0.66363,0.72631,0.65957,0.26389,1.90703,1.30376,1.64565,0.000907188,0.000907188,0.000907188
14,1297.58,1.53362,1.04942,1.40363,0.61784,0.75637,0.6392,0.25418,1.88247,1.2176,1.6111,0.000899453,0.000899453,0.000899453
15,1389.94,1.53525,1.03455,1.40146,0.64417,0.70164,0.64516,0.23852,2.03259,1.28266,1.71352,0.000891719,0.000891719,0.000891719
16,1482.19,1.4974,1.00933,1.38535,0.57899,0.6252,0.55672,0.1976,2.13069,1.41279,1.77654,0.000883984,0.000883984,0.000883984
17,1576.67,1.52855,0.98488,1.4049,0.7998,0.81959,0.80588,0.32897,1.83407,0.96874,1.58482,0.00087625,0.00087625,0.00087625
18,1671.32,1.52502,1.00583,1.38097,0.73197,0.75401,0.70827,0.31672,1.71654,1.22746,1.50562,0.000868516,0.000868516,0.000868516
19,1765.07,1.53885,0.99984,1.40579,0.61437,0.64788,0.58415,0.2122,2.0472,1.3531,1.72405,0.000860781,0.000860781,0.000860781
20,1859.37,1.49338,0.98215,1.37328,0.70987,0.74626,0.68169,0.26248,1.98762,1.16143,1.68889,0.000853047,0.000853047,0.000853047
21,1953.6,1.5183,0.97152,1.38558,0.68441,0.72466,0.65963,0.27259,1.88769,1.12593,1.59864,0.000845313,0.000845313,0.000845313
22,2046.86,1.49402,0.94133,1.36673,0.72277,0.73972,0.68231,0.26428,1.94341,1.0363,1.65231,0.000837578,0.000837578,0.000837578
23,2138.95,1.51961,0.95962,1.37529,0.71473,0.75654,0.69152,0.2887,1.84083,1.02671,1.57355,0.000829844,0.000829844,0.000829844
24,2231.39,1.46291,0.93348,1.3396,0.66798,0.76069,0.65413,0.24549,1.9014,1.16897,1.66133,0.000822109,0.000822109,0.000822109
25,2323.8,1.504,0.91616,1.36279,0.74555,0.76427,0.7517,0.31691,1.7927,1.05895,1.56314,0.000814375,0.000814375,0.000814375
26,2416.37,1.4262,0.89793,1.35105,0.75753,0.79096,0.73867,0.31041,1.78121,1.0433,1.57018,0.000806641,0.000806641,0.000806641
27,2511.33,1.44777,0.89957,1.34619,0.65978,0.74373,0.65359,0.28542,1.84736,1.14372,1.5821,0.000798906,0.000798906,0.000798906
28,2605.61,1.45295,0.88472,1.3525,0.63796,0.72067,0.62037,0.22601,2.09709,1.30866,1.77609,0.000791172,0.000791172,0.000791172
29,2699.86,1.43126,0.85925,1.35941,0.70341,0.7193,0.66697,0.27007,1.97952,1.28811,1.7445,0.000783438,0.000783438,0.000783438
